table_name,column_name,data_type
00_Open_Work,source,text
00_Open_Work,status,text
00_Open_Work,item_count,integer
analytics_agent_growth_opportunities,opportunity_type,text
analytics_agent_growth_opportunities,destination_id,uuid
analytics_agent_growth_opportunities,route_id,uuid
analytics_agent_growth_opportunities,state_id,integer
analytics_agent_growth_opportunities,event_date,date
analytics_agent_growth_opportunities,signal_count,bigint
analytics_agent_growth_opportunities,context,jsonb
analytics_agent_restaurant_summary,destination_id,uuid
analytics_agent_restaurant_summary,destination_name,text
analytics_agent_restaurant_summary,city,text
analytics_agent_restaurant_summary,state_id,integer
analytics_agent_restaurant_summary,rating_count,bigint
analytics_agent_restaurant_summary,avg_weight_score,numeric
analytics_agent_restaurant_summary,avg_overall,numeric
analytics_agent_restaurant_summary,last_rated_at,timestamp with time zone
analytics_agent_restaurant_summary,profile_views_30d,bigint
analytics_agent_restaurant_summary,directions_taps_30d,bigint
analytics_agent_restaurant_summary,rating_starts_30d,bigint
analytics_agent_restaurant_summary,event_rating_completions_30d,bigint
analytics_agent_restaurant_summary,shares_30d,bigint
analytics_agent_route_summary,route_id,uuid
analytics_agent_route_summary,title,text
analytics_agent_route_summary,city,text
analytics_agent_route_summary,is_public,boolean
analytics_agent_route_summary,is_token_route,boolean
analytics_agent_route_summary,all_crawls,bigint
analytics_agent_route_summary,completed_crawls,bigint
analytics_agent_route_summary,last_crawl_at,timestamp with time zone
analytics_agent_route_summary,unique_identities_30d,bigint
analytics_agent_route_summary,crawl_views_30d,bigint
analytics_agent_route_summary,crawl_starts_30d,bigint
analytics_agent_route_summary,crawl_completions_30d,bigint
analytics_agent_route_summary,ratings_completed_30d,bigint
analytics_crawl_funnel_daily,event_date,date
analytics_crawl_funnel_daily,crawl_started,bigint
analytics_crawl_funnel_daily,crawl_viewed,bigint
analytics_crawl_funnel_daily,crawl_resumed,bigint
analytics_crawl_funnel_daily,crawl_saved,bigint
analytics_crawl_funnel_daily,crawl_completed,bigint
analytics_crawl_funnel_daily,crawl_abandoned,bigint
analytics_crawl_funnel_daily,crawl_ratings_completed,bigint
analytics_crawl_funnel_daily,rough_completion_rate,numeric
analytics_daily_active_users,event_date,date
analytics_daily_active_users,signed_in_users,bigint
analytics_daily_active_users,anonymous_users,bigint
analytics_daily_active_users,active_identities,bigint
analytics_daily_active_users,sessions,bigint
analytics_daily_active_users,total_events,bigint
analytics_daily_active_users,app_opens,bigint
analytics_daily_active_users,screen_views,bigint
analytics_destination_performance_daily,event_date,date
analytics_destination_performance_daily,destination_id,uuid
analytics_destination_performance_daily,unique_identities,bigint
analytics_destination_performance_daily,profile_views,bigint
analytics_destination_performance_daily,directions_taps,bigint
analytics_destination_performance_daily,rating_starts,bigint
analytics_destination_performance_daily,rating_completions,bigint
analytics_destination_performance_daily,shares,bigint
analytics_discovery_daily,event_date,date
analytics_discovery_daily,restaurant_searches_with_results,bigint
analytics_discovery_daily,restaurant_search_empty,bigint
analytics_discovery_daily,restaurant_search_failed,bigint
analytics_discovery_daily,restaurant_search_result_selected,bigint
analytics_discovery_daily,restaurant_profile_views,bigint
analytics_discovery_daily,directions_taps,bigint
analytics_discovery_daily,map_opens,bigint
analytics_discovery_daily,failures,bigint
analytics_discovery_daily,slow_screens,bigint
analytics_rating_funnel_daily,event_date,date
analytics_rating_funnel_daily,rating_started,bigint
analytics_rating_funnel_daily,rating_completed,bigint
analytics_rating_funnel_daily,rating_not_completed,bigint
analytics_rating_funnel_daily,rating_abandoned,bigint
analytics_rating_funnel_daily,rating_failed,bigint
analytics_rating_funnel_daily,rating_validation_failed,bigint
analytics_rating_funnel_daily,completion_rate,numeric
analytics_route_performance_daily,event_date,date
analytics_route_performance_daily,route_id,uuid
analytics_route_performance_daily,unique_identities,bigint
analytics_route_performance_daily,crawl_views,bigint
analytics_route_performance_daily,crawl_starts,bigint
analytics_route_performance_daily,crawl_saves,bigint
analytics_route_performance_daily,crawl_completions,bigint
analytics_route_performance_daily,ratings_completed,bigint
analytics_route_performance_daily,leaderboard_views,bigint
analytics_social_opt_out_by_account_age,account_age_bucket,text
analytics_social_opt_out_by_account_age,total_users,bigint
analytics_social_opt_out_by_account_age,total_users_opted_out,bigint
analytics_social_opt_out_by_account_age,opt_out_rate,numeric
analytics_social_opt_out_by_facebook_link,facebook_connected,boolean
analytics_social_opt_out_by_facebook_link,total_users,bigint
analytics_social_opt_out_by_facebook_link,total_users_opted_out,bigint
analytics_social_opt_out_by_facebook_link,opt_out_rate,numeric
analytics_social_opt_out_summary,total_users,bigint
analytics_social_opt_out_summary,total_users_opted_out,bigint
analytics_social_opt_out_summary,opt_out_rate,numeric
badge_catalog,id,bigint
badge_catalog,code,text
badge_catalog,name,text
badge_catalog,description,text
badge_catalog,icon,text
badge_catalog,xp_reward,integer
badge_catalog,category,text
badge_catalog,tier,integer
badge_catalog,is_active,boolean
buffacoin_ledger,id,uuid
buffacoin_ledger,user_id,uuid
buffacoin_ledger,delta,integer
buffacoin_ledger,reason,text
buffacoin_ledger,crawl_id,uuid
buffacoin_ledger,state_id,integer
buffacoin_ledger,destination_id,uuid
