schema_name,function_name,identity_args,result_type,security_definer,language,owner
public,Badge_Add_Crawl_Milestones,,trigger,true,plpgsql,postgres
public,Badge_Add_First_Bite,,trigger,true,plpgsql,postgres
public,Badge_Add_Rating_Milestones,,trigger,true,plpgsql,postgres
public,accept_friend_request,p_requester_user_id uuid,text,true,plpgsql,postgres
public,award_xp,"p_amount integer, p_source text, p_reason text, p_user_id uuid, p_idempotency_key text, p_destination_id uuid, p_crawl_id uuid, p_route_id uuid, p_badge_id bigint, p_battle_id bigint, p_challenge_id uuid, p_referral_id uuid, p_metadata jsonb","TABLE(awarded boolean, amount integer, xp_before integer, xp_after integer, level_before integer, level_after integer, ledger_id uuid, reason text)",true,plpgsql,postgres
public,award_xp,"p_user uuid, p_amount integer, p_reason text",void,true,plpgsql,postgres
public,badge_code_norm,p text,text,false,sql,postgres
public,block_user,p_target_user_id uuid,boolean,true,plpgsql,postgres
public,buffacoin_apply_ledger_delta,,trigger,true,plpgsql,postgres
public,buffacoin_wallets_touch_updated_at,,trigger,false,plpgsql,postgres
public,buffacoins_get_or_create_token_crawl,p_state_code text,uuid,true,plpgsql,postgres
public,buffacoins_spend_for_wingdex,"p_destination_id uuid, p_state_code text",integer,true,plpgsql,postgres
public,can_user_appear_socially,user_id uuid,boolean,false,sql,postgres
public,cancel_friend_request,p_addressee_user_id uuid,boolean,true,plpgsql,postgres
public,claim_daily_xp,p_user uuid,json,true,plpgsql,postgres
public,coin_rate_destination,"p_destination_id uuid, p_crispiness integer, p_sauce integer, p_meat integer, p_overall integer, p_onboarding_seed boolean",uuid,false,plpgsql,postgres
public,daily_xp_status,p_user uuid,json,true,sql,postgres
public,debug_logs_prune,,void,false,plpgsql,postgres
public,decline_friend_request,p_requester_user_id uuid,boolean,true,plpgsql,postgres
public,delete_account_data,p_user_id uuid,void,true,plpgsql,postgres
public,delete_my_account_data,,void,true,plpgsql,postgres
public,detach_crawl,p_crawl uuid,void,true,sql,postgres
public,earn_badge,"p_badge_code text, p_user_id uuid","TABLE(awarded boolean, badge_id bigint, code text, name text, xp_awarded integer, earned_at timestamp with time zone)",true,plpgsql,postgres
public,friend_pair_is_blocked,"p_user_a uuid, p_user_b uuid",boolean,true,sql,postgres
public,friend_relationship_status,p_target_user_id uuid,text,true,plpgsql,postgres
public,get_blocked_users,,"TABLE(user_id uuid, username text, avatar_url text, blocked_at timestamp with time zone)",true,sql,postgres
public,get_friend_invite_code,p_rotate boolean,uuid,true,plpgsql,postgres
public,get_friends,,"TABLE(user_id uuid, username text, avatar_url text, friends_since timestamp with time zone, recent_rating_at timestamp with time zone, recent_destination_name text, recent_weight_score numeric)",true,sql,postgres
public,get_friends_feed,"p_state_id integer, p_limit integer, p_offset integer","TABLE(rating_id uuid, user_id uuid, username text, avatar_url text, destination_id uuid, destination_name text, destination_city text, destination_state_id integer, weight_score numeric, created_at timestamp with time zone, is_buffacoin boolean)",true,sql,postgres
public,get_friends_leaderboard,p_state_id integer,"TABLE(rating_id uuid, user_id uuid, username text, avatar_url text, xp integer, destination_id uuid, destination_state_id integer, weight_score numeric, created_at timestamp with time zone)",true,sql,postgres
public,get_pending_friend_invites,,"TABLE(friendship_id uuid, direction text, user_id uuid, username text, avatar_url text, created_at timestamp with time zone)",true,sql,postgres
public,get_safe_social_profile,p_target_user_id uuid,"TABLE(user_id uuid, username text, avatar_url text)",true,sql,postgres
public,get_social_badge_counts,,"TABLE(pending_invites bigint, unseen_friend_activity bigint, total bigint)",true,sql,postgres
public,give_new_user_coin_bonus,,trigger,true,plpgsql,postgres
public,give_new_user_starting_coins,,trigger,true,plpgsql,postgres
public,grant_badge,"p_user uuid, p_code text",void,true,plpgsql,postgres
public,handle_new_auth_user,,trigger,true,plpgsql,postgres
public,handle_new_user,,trigger,true,plpgsql,postgres
public,home_create_quick_crawl,,uuid,true,plpgsql,postgres
