schemaname,tablename,indexname,indexdef
public,badge_catalog,badge_catalog_code_key,CREATE UNIQUE INDEX badge_catalog_code_key ON public.badge_catalog USING btree (code)
public,badge_catalog,badge_catalog_pkey,CREATE UNIQUE INDEX badge_catalog_pkey ON public.badge_catalog USING btree (id)
public,buffacoin_ledger,buffacoin_ledger_one_starter_grant_per_user,"CREATE UNIQUE INDEX buffacoin_ledger_one_starter_grant_per_user ON public.buffacoin_ledger USING btree (user_id, reason) WHERE (reason = 'new_user_starter_coins'::text)"
public,buffacoin_ledger,buffacoin_ledger_pkey,CREATE UNIQUE INDEX buffacoin_ledger_pkey ON public.buffacoin_ledger USING btree (id)
public,buffacoin_ledger,idx_buffacoin_ledger_destination,CREATE INDEX idx_buffacoin_ledger_destination ON public.buffacoin_ledger USING btree (destination_id)
public,buffacoin_ledger,idx_buffacoin_ledger_reason,CREATE INDEX idx_buffacoin_ledger_reason ON public.buffacoin_ledger USING btree (reason)
public,buffacoin_ledger,idx_buffacoin_ledger_user_created,"CREATE INDEX idx_buffacoin_ledger_user_created ON public.buffacoin_ledger USING btree (user_id, created_at DESC)"
public,buffacoin_wallets,buffacoin_wallets_pkey,CREATE UNIQUE INDEX buffacoin_wallets_pkey ON public.buffacoin_wallets USING btree (user_id)
public,crawls,crawls_pkey,CREATE UNIQUE INDEX crawls_pkey ON public.crawls USING btree (crawl_id)
public,custom_restaurant_sourcing,custom_restaurant_sourcing_pkey,CREATE UNIQUE INDEX custom_restaurant_sourcing_pkey ON public.custom_restaurant_sourcing USING btree (id)
public,custom_restaurant_sourcing,custom_restaurant_sourcing_state_idx,"CREATE INDEX custom_restaurant_sourcing_state_idx ON public.custom_restaurant_sourcing USING btree (state_id, created_at DESC)"
public,daily_xp_claims,daily_xp_claims_pkey,CREATE UNIQUE INDEX daily_xp_claims_pkey ON public.daily_xp_claims USING btree (id)
public,daily_xp_claims,daily_xp_claims_user_id_claim_date_key,"CREATE UNIQUE INDEX daily_xp_claims_user_id_claim_date_key ON public.daily_xp_claims USING btree (user_id, claim_date)"
public,debug_logs,debug_logs_created_at_idx,CREATE INDEX debug_logs_created_at_idx ON public.debug_logs USING btree (created_at DESC)
public,debug_logs,debug_logs_device_id_idx,CREATE INDEX debug_logs_device_id_idx ON public.debug_logs USING btree (device_id)
public,debug_logs,debug_logs_pkey,CREATE UNIQUE INDEX debug_logs_pkey ON public.debug_logs USING btree (id)
public,debug_logs,debug_logs_user_id_idx,CREATE INDEX debug_logs_user_id_idx ON public.debug_logs USING btree (user_id)
public,destination_ratings,destination_ratings_dest_crawl_user_uniq,"CREATE UNIQUE INDEX destination_ratings_dest_crawl_user_uniq ON public.destination_ratings USING btree (destination_id, crawl_id, user_id)"
public,destination_ratings,destination_ratings_one_per_dest_per_crawl_user_noncoin,"CREATE UNIQUE INDEX destination_ratings_one_per_dest_per_crawl_user_noncoin ON public.destination_ratings USING btree (crawl_id, destination_id, COALESCE(user_id, '00000000-0000-0000-0000-000000000000'::uuid)) WHERE (is_buffacoin IS NOT TRUE)"
public,destination_ratings,destination_ratings_pkey,CREATE UNIQUE INDEX destination_ratings_pkey ON public.destination_ratings USING btree (id)
