schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,badge_catalog,badge_catalog_read,PERMISSIVE,{public},SELECT,(is_active = true),NULL
public,buffacoin_ledger,ledger_insert_own,PERMISSIVE,{authenticated},INSERT,NULL,(user_id = auth.uid())
public,buffacoin_ledger,ledger_select_own,PERMISSIVE,{authenticated},SELECT,(user_id = auth.uid()),NULL
public,buffacoin_wallets,wallet_select_own,PERMISSIVE,{authenticated},SELECT,(user_id = auth.uid()),NULL
public,buffacoin_wallets,wallets_select_own,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),NULL
public,crawls,crawls_delete,PERMISSIVE,{public},DELETE,(auth.uid() = user_id),NULL
public,crawls,crawls_insert,PERMISSIVE,{public},INSERT,NULL,(auth.uid() = user_id)
public,crawls,crawls_insert_guest,PERMISSIVE,{anon},INSERT,NULL,(user_id IS NULL)
public,crawls,crawls_insert_host,PERMISSIVE,{public},INSERT,NULL,(user_id = auth.uid())
public,crawls,crawls_insert_self,PERMISSIVE,{authenticated},INSERT,NULL,(user_id = auth.uid())
public,crawls,crawls_owner_may_detach,PERMISSIVE,{authenticated},UPDATE,(user_id = auth.uid()),((user_id IS NULL) OR (user_id = auth.uid()))
public,crawls,crawls_select,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),NULL
public,crawls,crawls_select_guest,PERMISSIVE,{anon},SELECT,(user_id IS NULL),NULL
public,crawls,crawls_select_self,PERMISSIVE,{authenticated},SELECT,(user_id = auth.uid()),NULL
public,crawls,crawls_update,PERMISSIVE,{public},UPDATE,(auth.uid() = user_id),(auth.uid() = user_id)
public,crawls,crawls_update_host,PERMISSIVE,{public},UPDATE,(user_id = auth.uid()),NULL
public,crawls,crawls_update_self,PERMISSIVE,{authenticated},UPDATE,(user_id = auth.uid()),(user_id = auth.uid())
public,crawls,public read for crawl_public,PERMISSIVE,"{anon,authenticated}",SELECT,true,NULL
public,crawls,user can read own crawls,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),NULL
public,custom_restaurant_sourcing,sourcing_admin_select,PERMISSIVE,{authenticated},SELECT,(auth.uid() = '23898359-306a-4dd3-91f0-da66da19ccfc'::uuid),NULL
public,custom_restaurant_sourcing,sourcing_insert,PERMISSIVE,{public},INSERT,NULL,true
public,debug_logs,debug_logs_insert_anyone,PERMISSIVE,"{anon,authenticated}",INSERT,NULL,true
public,debug_logs,debug_logs_select_admin_only,PERMISSIVE,{authenticated},SELECT,(auth.uid() = '23898359-306a-4dd3-91f0-da66da19ccfc'::uuid),NULL
public,destination_ratings,auth can manage own ratings,PERMISSIVE,{authenticated},ALL,(auth.uid() = user_id),(auth.uid() = user_id)
public,destination_ratings,destination_ratings_insert_own,PERMISSIVE,{public},INSERT,NULL,(user_id = auth.uid())
public,destination_ratings,guests can insert guest ratings,PERMISSIVE,{anon},INSERT,NULL,(user_id IS NULL)
public,destination_ratings,guests can read guest ratings,PERMISSIVE,{anon},SELECT,(user_id IS NULL),NULL
public,destination_ratings,public read ratings,PERMISSIVE,{public},SELECT,true,NULL
public,destination_ratings,user can read own ratings,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),NULL
public,destination_suggestions,destination_suggestions_insert_own,PERMISSIVE,{authenticated},INSERT,NULL,(auth.uid() = user_id)
public,destination_suggestions,destination_suggestions_select_own,PERMISSIVE,{authenticated},SELECT,(auth.uid() = user_id),NULL
public,destination_tags,public read tags,PERMISSIVE,{public},SELECT,true,NULL
public,destinations,destinations_public_read,PERMISSIVE,{public},SELECT,true,NULL
public,destinations,destinations_write_by_creator,PERMISSIVE,{public},ALL,(created_by = auth.uid()),(created_by = auth.uid())
public,destinations,public read destinations,PERMISSIVE,{public},SELECT,true,NULL
public,friend_invite_codes,invite_codes_select_owner,PERMISSIVE,{authenticated},SELECT,(auth.uid() = user_id),NULL
public,friendships,friendships_select_participant,PERMISSIVE,{authenticated},SELECT,((auth.uid() = requester_id) OR (auth.uid() = addressee_id)),NULL
public,fun_facts,fun_facts_select_anon,PERMISSIVE,{anon},SELECT,(is_active = true),NULL
public,fun_facts,fun_facts_select_auth,PERMISSIVE,{authenticated},SELECT,(is_active = true),NULL
public,lb_user_badges_counts,lb_counts_everyone_select,PERMISSIVE,"{anon,authenticated}",SELECT,true,NULL
public,onboarding_analytics,onboarding_admin_select,PERMISSIVE,{authenticated},SELECT,(auth.uid() = '23898359-306a-4dd3-91f0-da66da19ccfc'::uuid),NULL
public,onboarding_analytics,onboarding_insert,PERMISSIVE,{public},INSERT,NULL,true
public,route_submissions,route_submissions_admin_read_all,PERMISSIVE,{authenticated},SELECT,((auth.uid())::text = '23898359-306a-4dd3-91f0-da66da19ccfc'::text),NULL
public,route_submissions,route_submissions_insert_own,PERMISSIVE,{authenticated},INSERT,NULL,(auth.uid() = user_id)
public,route_submissions,route_submissions_select_own,PERMISSIVE,{authenticated},SELECT,(auth.uid() = user_id),NULL
public,routes,public read routes for stop counts,PERMISSIVE,"{anon,authenticated}",SELECT,true,NULL
public,routes,routes_public_read,PERMISSIVE,{public},SELECT,(is_public = true),NULL
public,routes,routes_write_by_creator,PERMISSIVE,{public},ALL,(created_by = auth.uid()),(created_by = auth.uid())
public,social_activity_reads,social_reads_select_owner,PERMISSIVE,{authenticated},SELECT,(auth.uid() = user_id),NULL
public,user_badges,user_badges insert own,PERMISSIVE,{authenticated},INSERT,NULL,(user_id = auth.uid())
public,user_badges,user_badges select own,PERMISSIVE,{authenticated},SELECT,(user_id = auth.uid()),NULL
public,user_badges,user_badges_insert_block,PERMISSIVE,{public},INSERT,NULL,false
public,user_badges,user_badges_insert_own,PERMISSIVE,{authenticated},INSERT,NULL,(user_id = auth.uid())
public,user_badges,user_badges_insert_self,PERMISSIVE,{public},INSERT,NULL,(user_id = auth.uid())
public,user_badges,user_badges_select_own,PERMISSIVE,{authenticated},SELECT,(user_id = auth.uid()),NULL
public,user_badges,user_badges_select_self,PERMISSIVE,{public},SELECT,(user_id = auth.uid()),NULL
public,user_badges,users can insert their own badges,PERMISSIVE,{authenticated},INSERT,NULL,(user_id = auth.uid())
public,user_badges,users can select their own badges,PERMISSIVE,{authenticated},SELECT,(user_id = auth.uid()),NULL
public,user_blocks,blocks_select_owner,PERMISSIVE,{authenticated},SELECT,(auth.uid() = blocker_id),NULL
public,user_contactus,user_contactus_insert_anyone,PERMISSIVE,"{anon,authenticated}",INSERT,NULL,true
public,user_events,user_events_insert_own_or_anonymous,PERMISSIVE,"{anon,authenticated}",INSERT,NULL,(((auth.uid() IS NULL) AND (user_id IS NULL) AND (anonymous_id IS NOT NULL)) OR ((auth.uid() IS NOT NULL) AND ((user_id = auth.uid()) OR (user_id IS NULL)) AND (anonymous_id IS NOT NULL)))
public,user_feedback,user_feedback_insert_anyone,PERMISSIVE,"{anon,authenticated}",INSERT,NULL,true
public,user_meta,user_meta_select_own,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),NULL
public,user_meta,user_meta_update_own,PERMISSIVE,{public},UPDATE,(auth.uid() = user_id),(auth.uid() = user_id)
public,user_meta,user_meta_upsert_own,PERMISSIVE,{public},INSERT,NULL,(auth.uid() = user_id)
public,user_preferences,user_preferences_delete_own,PERMISSIVE,{authenticated},DELETE,(user_id = auth.uid()),NULL
public,user_preferences,user_preferences_insert_own,PERMISSIVE,{authenticated},INSERT,NULL,(user_id = auth.uid())
public,user_preferences,user_preferences_select_own,PERMISSIVE,{authenticated},SELECT,(user_id = auth.uid()),NULL
public,user_preferences,user_preferences_update_own,PERMISSIVE,{authenticated},UPDATE,(user_id = auth.uid()),(user_id = auth.uid())
public,user_wing_battle_votes,user_wing_battle_votes_delete_own,PERMISSIVE,{authenticated},DELETE,(user_id = auth.uid()),NULL
public,user_wing_battle_votes,user_wing_battle_votes_insert_own,PERMISSIVE,{authenticated},INSERT,NULL,(user_id = auth.uid())
public,user_wing_battle_votes,user_wing_battle_votes_select_own,PERMISSIVE,{authenticated},SELECT,(user_id = auth.uid()),NULL
public,user_wing_battle_votes,user_wing_battle_votes_update_own,PERMISSIVE,{authenticated},UPDATE,(user_id = auth.uid()),(user_id = auth.uid())
public,users,public read basic user profile,PERMISSIVE,"{anon,authenticated}",SELECT,true,NULL
public,users,users self read,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),NULL
public,users,users self update,PERMISSIVE,{public},UPDATE,(auth.uid() = user_id),(auth.uid() = user_id)
public,users,users_insert_own,PERMISSIVE,{public},INSERT,NULL,(auth.uid() = user_id)
public,users,users_rw_self,PERMISSIVE,{authenticated},ALL,(user_id = auth.uid()),(user_id = auth.uid())
public,users,users_select_own,PERMISSIVE,{authenticated},SELECT,(auth.uid() = user_id),NULL
