routine_schema,routine_name,privilege_type,grantee
public,Badge_Add_Crawl_Milestones,EXECUTE,anon
public,Badge_Add_Crawl_Milestones,EXECUTE,authenticated
public,Badge_Add_Crawl_Milestones,EXECUTE,service_role
public,Badge_Add_First_Bite,EXECUTE,anon
public,Badge_Add_First_Bite,EXECUTE,authenticated
public,Badge_Add_First_Bite,EXECUTE,service_role
public,Badge_Add_Rating_Milestones,EXECUTE,anon
public,Badge_Add_Rating_Milestones,EXECUTE,authenticated
public,Badge_Add_Rating_Milestones,EXECUTE,service_role
public,accept_friend_request,EXECUTE,authenticated
public,accept_friend_request,EXECUTE,service_role
public,award_xp,EXECUTE,anon
public,award_xp,EXECUTE,anon
public,award_xp,EXECUTE,authenticated
public,award_xp,EXECUTE,authenticated
public,award_xp,EXECUTE,service_role
public,award_xp,EXECUTE,service_role
public,badge_code_norm,EXECUTE,anon
public,badge_code_norm,EXECUTE,authenticated
public,badge_code_norm,EXECUTE,service_role
public,block_user,EXECUTE,authenticated
public,block_user,EXECUTE,service_role
public,buffacoin_apply_ledger_delta,EXECUTE,anon
public,buffacoin_apply_ledger_delta,EXECUTE,authenticated
public,buffacoin_apply_ledger_delta,EXECUTE,service_role
public,buffacoin_wallets_touch_updated_at,EXECUTE,anon
public,buffacoin_wallets_touch_updated_at,EXECUTE,authenticated
public,buffacoin_wallets_touch_updated_at,EXECUTE,service_role
public,buffacoins_get_or_create_token_crawl,EXECUTE,anon
public,buffacoins_get_or_create_token_crawl,EXECUTE,authenticated
public,buffacoins_get_or_create_token_crawl,EXECUTE,service_role
public,buffacoins_spend_for_wingdex,EXECUTE,anon
public,buffacoins_spend_for_wingdex,EXECUTE,authenticated
public,buffacoins_spend_for_wingdex,EXECUTE,service_role
public,can_user_appear_socially,EXECUTE,anon
public,can_user_appear_socially,EXECUTE,authenticated
public,can_user_appear_socially,EXECUTE,service_role
public,cancel_friend_request,EXECUTE,authenticated
public,cancel_friend_request,EXECUTE,service_role
public,claim_daily_xp,EXECUTE,anon
public,claim_daily_xp,EXECUTE,authenticated
public,claim_daily_xp,EXECUTE,service_role
public,coin_rate_destination,EXECUTE,anon
public,coin_rate_destination,EXECUTE,authenticated
public,coin_rate_destination,EXECUTE,service_role
public,daily_xp_status,EXECUTE,anon
public,daily_xp_status,EXECUTE,authenticated
public,daily_xp_status,EXECUTE,service_role
public,debug_logs_prune,EXECUTE,anon
public,debug_logs_prune,EXECUTE,authenticated
public,debug_logs_prune,EXECUTE,service_role
public,decline_friend_request,EXECUTE,authenticated
public,decline_friend_request,EXECUTE,service_role
public,delete_account_data,EXECUTE,anon
public,delete_account_data,EXECUTE,authenticated
public,delete_account_data,EXECUTE,service_role
public,delete_my_account_data,EXECUTE,anon
public,delete_my_account_data,EXECUTE,authenticated
public,delete_my_account_data,EXECUTE,service_role
public,detach_crawl,EXECUTE,anon
public,detach_crawl,EXECUTE,authenticated
public,detach_crawl,EXECUTE,service_role
public,earn_badge,EXECUTE,anon
public,earn_badge,EXECUTE,authenticated
public,earn_badge,EXECUTE,service_role
public,friend_pair_is_blocked,EXECUTE,authenticated
public,friend_pair_is_blocked,EXECUTE,service_role
public,friend_relationship_status,EXECUTE,authenticated
public,friend_relationship_status,EXECUTE,service_role
public,get_blocked_users,EXECUTE,authenticated
public,get_blocked_users,EXECUTE,service_role
public,get_friend_invite_code,EXECUTE,authenticated
public,get_friend_invite_code,EXECUTE,service_role
public,get_friends,EXECUTE,authenticated
public,get_friends,EXECUTE,service_role
public,get_friends_feed,EXECUTE,authenticated
public,get_friends_feed,EXECUTE,service_role
public,get_friends_leaderboard,EXECUTE,authenticated
public,get_friends_leaderboard,EXECUTE,service_role
public,get_pending_friend_invites,EXECUTE,authenticated
public,get_pending_friend_invites,EXECUTE,service_role
public,get_safe_social_profile,EXECUTE,authenticated
public,get_safe_social_profile,EXECUTE,service_role
public,get_social_badge_counts,EXECUTE,authenticated
public,get_social_badge_counts,EXECUTE,service_role
public,give_new_user_coin_bonus,EXECUTE,anon
public,give_new_user_coin_bonus,EXECUTE,authenticated
public,give_new_user_coin_bonus,EXECUTE,service_role
public,give_new_user_starting_coins,EXECUTE,anon
public,give_new_user_starting_coins,EXECUTE,authenticated
public,give_new_user_starting_coins,EXECUTE,service_role
public,grant_badge,EXECUTE,anon
public,grant_badge,EXECUTE,authenticated
public,grant_badge,EXECUTE,service_role
public,handle_new_auth_user,EXECUTE,anon
public,handle_new_auth_user,EXECUTE,authenticated
public,handle_new_auth_user,EXECUTE,service_role
public,handle_new_user,EXECUTE,anon
public,handle_new_user,EXECUTE,authenticated
public,handle_new_user,EXECUTE,service_role
public,home_create_quick_crawl,EXECUTE,anon
public,home_create_quick_crawl,EXECUTE,authenticated
