table_schema,table_name,privilege_type,grantee
public,00_Open_Work,DELETE,anon
public,00_Open_Work,INSERT,anon
public,00_Open_Work,REFERENCES,anon
public,00_Open_Work,SELECT,anon
public,00_Open_Work,TRIGGER,anon
public,00_Open_Work,TRUNCATE,anon
public,00_Open_Work,UPDATE,anon
public,00_Open_Work,DELETE,authenticated
public,00_Open_Work,INSERT,authenticated
public,00_Open_Work,REFERENCES,authenticated
public,00_Open_Work,SELECT,authenticated
public,00_Open_Work,TRIGGER,authenticated
public,00_Open_Work,TRUNCATE,authenticated
public,00_Open_Work,UPDATE,authenticated
public,00_Open_Work,DELETE,service_role
public,00_Open_Work,INSERT,service_role
public,00_Open_Work,REFERENCES,service_role
public,00_Open_Work,SELECT,service_role
public,00_Open_Work,TRIGGER,service_role
public,00_Open_Work,TRUNCATE,service_role
public,00_Open_Work,UPDATE,service_role
public,analytics_agent_growth_opportunities,DELETE,anon
public,analytics_agent_growth_opportunities,INSERT,anon
public,analytics_agent_growth_opportunities,REFERENCES,anon
public,analytics_agent_growth_opportunities,SELECT,anon
public,analytics_agent_growth_opportunities,TRIGGER,anon
public,analytics_agent_growth_opportunities,TRUNCATE,anon
public,analytics_agent_growth_opportunities,UPDATE,anon
public,analytics_agent_growth_opportunities,DELETE,authenticated
public,analytics_agent_growth_opportunities,INSERT,authenticated
public,analytics_agent_growth_opportunities,REFERENCES,authenticated
public,analytics_agent_growth_opportunities,SELECT,authenticated
public,analytics_agent_growth_opportunities,TRIGGER,authenticated
public,analytics_agent_growth_opportunities,TRUNCATE,authenticated
public,analytics_agent_growth_opportunities,UPDATE,authenticated
public,analytics_agent_growth_opportunities,DELETE,service_role
public,analytics_agent_growth_opportunities,INSERT,service_role
public,analytics_agent_growth_opportunities,REFERENCES,service_role
public,analytics_agent_growth_opportunities,SELECT,service_role
public,analytics_agent_growth_opportunities,TRIGGER,service_role
public,analytics_agent_growth_opportunities,TRUNCATE,service_role
public,analytics_agent_growth_opportunities,UPDATE,service_role
public,analytics_agent_restaurant_summary,DELETE,anon
public,analytics_agent_restaurant_summary,INSERT,anon
public,analytics_agent_restaurant_summary,REFERENCES,anon
public,analytics_agent_restaurant_summary,SELECT,anon
public,analytics_agent_restaurant_summary,TRIGGER,anon
public,analytics_agent_restaurant_summary,TRUNCATE,anon
public,analytics_agent_restaurant_summary,UPDATE,anon
public,analytics_agent_restaurant_summary,DELETE,authenticated
public,analytics_agent_restaurant_summary,INSERT,authenticated
public,analytics_agent_restaurant_summary,REFERENCES,authenticated
public,analytics_agent_restaurant_summary,SELECT,authenticated
public,analytics_agent_restaurant_summary,TRIGGER,authenticated
public,analytics_agent_restaurant_summary,TRUNCATE,authenticated
public,analytics_agent_restaurant_summary,UPDATE,authenticated
public,analytics_agent_restaurant_summary,DELETE,service_role
public,analytics_agent_restaurant_summary,INSERT,service_role
public,analytics_agent_restaurant_summary,REFERENCES,service_role
public,analytics_agent_restaurant_summary,SELECT,service_role
public,analytics_agent_restaurant_summary,TRIGGER,service_role
public,analytics_agent_restaurant_summary,TRUNCATE,service_role
public,analytics_agent_restaurant_summary,UPDATE,service_role
public,analytics_agent_route_summary,DELETE,anon
public,analytics_agent_route_summary,INSERT,anon
public,analytics_agent_route_summary,REFERENCES,anon
public,analytics_agent_route_summary,SELECT,anon
public,analytics_agent_route_summary,TRIGGER,anon
public,analytics_agent_route_summary,TRUNCATE,anon
public,analytics_agent_route_summary,UPDATE,anon
public,analytics_agent_route_summary,DELETE,authenticated
public,analytics_agent_route_summary,INSERT,authenticated
public,analytics_agent_route_summary,REFERENCES,authenticated
public,analytics_agent_route_summary,SELECT,authenticated
public,analytics_agent_route_summary,TRIGGER,authenticated
public,analytics_agent_route_summary,TRUNCATE,authenticated
public,analytics_agent_route_summary,UPDATE,authenticated
public,analytics_agent_route_summary,DELETE,service_role
public,analytics_agent_route_summary,INSERT,service_role
public,analytics_agent_route_summary,REFERENCES,service_role
public,analytics_agent_route_summary,SELECT,service_role
public,analytics_agent_route_summary,TRIGGER,service_role
public,analytics_agent_route_summary,TRUNCATE,service_role
public,analytics_agent_route_summary,UPDATE,service_role
public,analytics_crawl_funnel_daily,DELETE,anon
public,analytics_crawl_funnel_daily,INSERT,anon
public,analytics_crawl_funnel_daily,REFERENCES,anon
public,analytics_crawl_funnel_daily,SELECT,anon
public,analytics_crawl_funnel_daily,TRIGGER,anon
public,analytics_crawl_funnel_daily,TRUNCATE,anon
public,analytics_crawl_funnel_daily,UPDATE,anon
public,analytics_crawl_funnel_daily,DELETE,authenticated
public,analytics_crawl_funnel_daily,INSERT,authenticated
public,analytics_crawl_funnel_daily,REFERENCES,authenticated
public,analytics_crawl_funnel_daily,SELECT,authenticated
public,analytics_crawl_funnel_daily,TRIGGER,authenticated
public,analytics_crawl_funnel_daily,TRUNCATE,authenticated
public,analytics_crawl_funnel_daily,UPDATE,authenticated
public,analytics_crawl_funnel_daily,DELETE,service_role
public,analytics_crawl_funnel_daily,INSERT,service_role
public,analytics_crawl_funnel_daily,REFERENCES,service_role
public,analytics_crawl_funnel_daily,SELECT,service_role
public,analytics_crawl_funnel_daily,TRIGGER,service_role
public,analytics_crawl_funnel_daily,TRUNCATE,service_role
public,analytics_crawl_funnel_daily,UPDATE,service_role
public,analytics_daily_active_users,DELETE,anon
public,analytics_daily_active_users,INSERT,anon
public,analytics_daily_active_users,REFERENCES,anon
public,analytics_daily_active_users,SELECT,anon
public,analytics_daily_active_users,TRIGGER,anon
public,analytics_daily_active_users,TRUNCATE,anon
public,analytics_daily_active_users,UPDATE,anon
public,analytics_daily_active_users,DELETE,authenticated
public,analytics_daily_active_users,INSERT,authenticated
public,analytics_daily_active_users,REFERENCES,authenticated
public,analytics_daily_active_users,SELECT,authenticated
public,analytics_daily_active_users,TRIGGER,authenticated
public,analytics_daily_active_users,TRUNCATE,authenticated
public,analytics_daily_active_users,UPDATE,authenticated
public,analytics_daily_active_users,DELETE,service_role
public,analytics_daily_active_users,INSERT,service_role
public,analytics_daily_active_users,REFERENCES,service_role
public,analytics_daily_active_users,SELECT,service_role
public,analytics_daily_active_users,TRIGGER,service_role
public,analytics_daily_active_users,TRUNCATE,service_role
public,analytics_daily_active_users,UPDATE,service_role
public,analytics_destination_performance_daily,DELETE,anon
public,analytics_destination_performance_daily,INSERT,anon
public,analytics_destination_performance_daily,REFERENCES,anon
public,analytics_destination_performance_daily,SELECT,anon
public,analytics_destination_performance_daily,TRIGGER,anon
public,analytics_destination_performance_daily,TRUNCATE,anon
public,analytics_destination_performance_daily,UPDATE,anon
public,analytics_destination_performance_daily,DELETE,authenticated
public,analytics_destination_performance_daily,INSERT,authenticated
