table_schema,table_name,table_type
public,00_Open_Work,VIEW
public,analytics_agent_growth_opportunities,VIEW
public,analytics_agent_restaurant_summary,VIEW
public,analytics_agent_route_summary,VIEW
public,analytics_crawl_funnel_daily,VIEW
public,analytics_daily_active_users,VIEW
public,analytics_destination_performance_daily,VIEW
public,analytics_discovery_daily,VIEW
public,analytics_rating_funnel_daily,VIEW
public,analytics_route_performance_daily,VIEW
public,analytics_social_opt_out_by_account_age,VIEW
public,analytics_social_opt_out_by_facebook_link,VIEW
public,analytics_social_opt_out_summary,VIEW
public,badge_catalog,BASE TABLE
public,buffacoin_ledger,BASE TABLE
public,buffacoin_wallets,BASE TABLE
public,crawl_coverage_public,VIEW
public,crawl_public,VIEW
public,crawl_weekly_streak,VIEW
public,crawls,BASE TABLE
public,custom_restaurant_sourcing,BASE TABLE
public,daily_xp_claims,BASE TABLE
public,debug_logs,BASE TABLE
public,destination_ratings,BASE TABLE
public,destination_suggestions,BASE TABLE
public,destination_tags,BASE TABLE
public,destinations,BASE TABLE
public,friend_invite_codes,BASE TABLE
public,friendships,BASE TABLE
public,fun_facts,BASE TABLE
public,jalapeno_content_candidates,BASE TABLE
public,jalapeno_content_decisions,BASE TABLE
public,jalapeno_content_memory,BASE TABLE
public,jalapeno_content_performance,BASE TABLE
public,jalapeno_content_strategy,BASE TABLE
public,jalapeno_errors,BASE TABLE
public,jalapeno_growth_reports,BASE TABLE
public,jalapeno_image_assets,BASE TABLE
public,jalapeno_instagram_posts,BASE TABLE
public,jalapeno_performance_summaries,BASE TABLE
public,jalapeno_post_candidates,BASE TABLE
public,jalapeno_post_metrics,BASE TABLE
public,jalapeno_post_patterns,BASE TABLE
public,jalapeno_post_scores,BASE TABLE
public,jalapeno_posts,BASE TABLE
public,jalapeno_report_logs,BASE TABLE
public,jalapeno_runs,BASE TABLE
public,jalapeno_settings,BASE TABLE
public,jalapeno_video_assets,BASE TABLE
public,lb_total_destinations,VIEW
public,lb_total_routes,VIEW
public,lb_user_badges_counts,BASE TABLE
public,lb_user_destinations_rated,VIEW
public,lb_user_routes_completed,VIEW
public,level_thresholds,BASE TABLE
public,onboarding_analytics,BASE TABLE
public,ratings_per_crawl_user,VIEW
public,route_ordered_destinations,VIEW
public,route_stop_counts,VIEW
public,route_submissions,BASE TABLE
public,route_travel_tag,BASE TABLE
public,routes,BASE TABLE
public,social_activity_reads,BASE TABLE
public,socially_visible_crawls,VIEW
public,socially_visible_destination_ratings,VIEW
public,socially_visible_users,VIEW
public,states,BASE TABLE
public,user_badges,BASE TABLE
public,user_blocks,BASE TABLE
public,user_contactus,BASE TABLE
public,user_events,BASE TABLE
public,user_feedback,BASE TABLE
public,user_meta,BASE TABLE
public,user_preferences,BASE TABLE
public,user_wing_battle_votes,BASE TABLE
public,user_with_level,VIEW
public,users,BASE TABLE
public,users_check_profile,BASE TABLE
public,users_check_route,BASE TABLE
public,v_badges_for_user,VIEW
public,v_social_feed,VIEW
public,wing_battle_options,BASE TABLE
public,wing_battle_options_active,VIEW
public,wingman_intake_logs,BASE TABLE
public,xp_ledger,BASE TABLE
